,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI,Significant?
224,Latvia,1,0-19,398000,2,205000,1,204999,193000,1,192999,0.94,0.06,15.05,ns
225,Latvia,2,20-49,704000,202,355000,141,354859,349000,61,348939,2.27,1.68,3.07,*
226,Latvia,3,50-79,677000,2789,283000,1501,281499,394000,1288,392712,1.62,1.51,1.75,*
227,Latvia,4,80+,107000,2448,27000,893,26107,80000,1555,78445,1.70,1.57,1.85,*
228,Liechtenstein,1,0-19,0,0,0,0,0,0,0,0,,,,ns
229,Liechtenstein,2,20-49,0,1,0,0,0,0,1,-1,,,,ns
230,Liechtenstein,3,50-79,0,37,0,28,-28,0,9,-9,,N/A,N/A,*
231,Liechtenstein,4,80+,0,48,0,21,-21,0,27,-27,,N/A,N/A,*
232,Lithuania,1,0-19,543000,6,280000,2,279998,263000,4,262996,0.47,0.09,2.56,ns
233,Lithuania,2,20-49,1010000,318,513000,201,512799,497000,117,496883,1.66,1.33,2.09,*
234,Lithuania,3,50-79,997000,4591,419000,2590,416410,578000,2001,575999,1.79,1.68,1.89,*
235,Lithuania,4,80+,172000,4671,48000,1727,46273,124000,2944,121056,1.52,1.43,1.61,*
236,Luxembourg,1,0-19,133000,0,68000,0,68000,65000,0,65000,,,,ns
237,Luxembourg,2,20-49,278000,16,143000,11,142989,135000,5,134995,2.08,0.72,5.98,ns
238,Luxembourg,3,50-79,191000,336,97000,234,96766,94000,102,93898,2.22,1.76,2.80,*
239,Luxembourg,4,80+,25000,704,10000,335,9665,15000,369,14631,1.36,1.18,1.58,*
240,Malaysia,1,0-19,10259000,204,5282000,111,5281889,4977000,93,4976907,1.12,0.85,1.48,ns
241,Malaysia,2,20-49,15412000,7640,7996000,4363,7991637,7416000,3277,7412723,1.23,1.18,1.29,*
242,Malaysia,3,50-79,6322000,21269,3169000,12565,3156435,3153000,8704,3144296,1.44,1.40,1.48,*
243,Malaysia,4,80+,373000,5507,183000,2662,180338,190000,2845,187155,0.97,0.92,1.02,ns
244,Maldives,1,0-19,140000,10,73000,6,72994,67000,4,66996,1.38,0.39,4.88,ns
245,Maldives,2,20-49,339000,41,239000,15,238985,100000,26,99974,0.24,0.13,0.46,ns
246,Maldives,3,50-79,50000,60,25000,23,24977,25000,37,24963,0.62,0.37,1.05,ns
247,Maldives,4,80+,12000,51,6000,19,5981,6000,32,5968,0.59,0.34,1.05,ns
248,Malta,1,0-19,85000,4,44000,1,43999,41000,3,40997,0.31,0.03,2.99,ns
249,Malta,2,20-49,180000,14,94000,9,93991,86000,5,85995,1.65,0.55,4.91,ns
250,Malta,3,50-79,156000,269,77000,184,76816,79000,85,78915,2.22,1.72,2.87,*
251,Malta,4,80+,21000,306,8000,152,7848,13000,154,12846,1.60,1.28,2.00,*
252,Mexico,1,0-19,33310000,1261,16993000,597,16992403,16317000,664,16316336,0.86,0.77,0.96,ns
253,Mexico,2,20-49,57163000,55669,27794000,36754,27757246,29369000,18915,29350085,2.05,2.02,2.09,*
254,Mexico,3,50-79,25211000,223695,11704000,136293,11567707,13507000,87402,13419598,1.80,1.78,1.81,*
255,Mexico,4,80+,2038000,44260,848000,26144,821856,1190000,18116,1171884,2.03,1.99,2.06,*
256,Moldova,1,0-19,0,0,0,0,0,0,0,0,,,,ns
257,Moldova,2,20-49,1908000,580,960000,303,959697,948000,277,947723,1.08,0.92,1.27,ns
258,Moldova,3,50-79,1194000,8749,514000,4220,509780,680000,4529,675471,1.23,1.18,1.29,*
259,Moldova,4,80+,88000,2193,24000,917,23083,64000,1276,62724,1.92,1.76,2.08,*
260,Mongolia,1,0-19,1236000,14,625000,5,624995,611000,9,610991,0.54,0.18,1.62,ns
261,Mongolia,2,20-49,1487000,220,742000,96,741904,745000,124,744876,0.78,0.60,1.01,ns
262,Mongolia,3,50-79,533000,1426,240000,679,239321,293000,747,292253,1.11,1.00,1.23,*
263,Mongolia,4,80+,21000,514,7000,216,6784,14000,298,13702,1.45,1.22,1.72,*
264,Montenegro,1,0-19,154000,5,80000,1,79999,74000,4,73996,0.23,0.03,2.07,ns
265,Montenegro,2,20-49,256000,107,129000,75,128925,127000,32,126968,2.31,1.53,3.49,*
266,Montenegro,3,50-79,199000,1604,94000,1079,92921,105000,525,104475,2.30,2.07,2.55,*
267,Montenegro,4,80+,21000,748,8000,377,7623,13000,371,12629,1.65,1.43,1.90,*
268,Myanmar,1,0-19,9994000,4,5010000,3,5009997,4984000,1,4983999,2.98,0.31,28.69,ns
269,Myanmar,2,20-49,24290000,35,11810000,25,11809975,12480000,10,12479990,2.64,1.27,5.50,*
270,Myanmar,3,50-79,8897000,101,3945000,65,3944935,4952000,36,4951964,2.27,1.51,3.41,*
271,Myanmar,4,80+,0,0,0,0,0,0,0,0,,,,ns
272,Namibia,1,0-19,1181000,3,590000,2,589998,591000,1,590999,2.00,0.18,22.09,ns
273,Namibia,2,20-49,1068000,52,521000,35,520965,547000,17,546983,2.16,1.21,3.86,*
274,Namibia,3,50-79,279000,72,118000,42,117958,161000,30,160970,1.91,1.20,3.05,*
275,Namibia,4,80+,14000,20,4000,13,3987,10000,7,9993,4.64,1.85,11.63,*
276,Nepal,1,0-19,14804000,246,7387000,120,7386880,7417000,126,7416874,0.96,0.74,1.23,ns
277,Nepal,2,20-49,8054000,1975,3120000,1261,3118739,4934000,714,4933286,2.79,2.55,3.06,*
278,Nepal,3,50-79,3242000,4994,1499000,3313,1495687,1743000,1681,1741319,2.29,2.16,2.43,*
279,Nepal,4,80+,69000,807,28000,519,27481,41000,288,40712,2.64,2.29,3.05,*
280,Netherlands,1,0-19,3707000,11,1903000,9,1902991,1804000,2,1803998,4.27,0.92,19.74,ns
281,Netherlands,2,20-49,6345000,208,3207000,112,3206888,3138000,96,3137904,1.14,0.87,1.50,ns
282,Netherlands,3,50-79,6245000,7976,3093000,5132,3087868,3152000,2844,3149156,1.84,1.76,1.93,*
283,Netherlands,4,80+,837000,14574,333000,7191,325809,504000,7383,496617,1.47,1.43,1.52,*
284,Nigeria,1,0-19,111554000,38,56975000,24,56974976,54579000,14,54578986,1.64,0.85,3.17,ns
285,Nigeria,2,20-49,74582000,320,37783000,199,37782801,36799000,121,36798879,1.60,1.28,2.01,*
286,Nigeria,3,50-79,19581000,1474,9517000,1057,9515943,10064000,417,10063583,2.68,2.39,3.00,*
287,Nigeria,4,80+,418000,238,192000,159,191841,226000,79,225921,2.37,1.81,3.10,*
288,North Macedonia,1,0-19,461000,9,238000,3,237997,223000,6,222994,0.47,0.12,1.87,ns
289,North Macedonia,2,20-49,908000,535,465000,334,464666,443000,201,442799,1.58,1.33,1.89,*
290,North Macedonia,3,50-79,661000,6764,318000,4035,313965,343000,2729,340271,1.59,1.52,1.67,*
291,North Macedonia,4,80+,53000,2003,21000,1133,19867,32000,870,31130,1.98,1.82,2.16,*
292,Northern Ireland,1,0-19,485000,2,249000,2,248998,236000,0,236000,inf,,inf,ns
293,Northern Ireland,2,20-49,483000,20,243000,11,242989,240000,9,239991,1.21,0.50,2.91,ns
294,Northern Ireland,3,50-79,346000,1208,167000,732,166268,179000,476,178524,1.65,1.47,1.85,*
295,Northern Ireland,4,80+,83000,2001,33000,1015,31985,50000,986,49014,1.56,1.43,1.70,*
296,Norway,1,0-19,1255000,13,644000,2,643998,611000,11,610989,0.17,0.04,0.78,ns
297,Norway,2,20-49,2189000,88,1128000,54,1127946,1061000,34,1060966,1.49,0.97,2.29,ns
298,Norway,3,50-79,1746000,1045,877000,657,876343,869000,388,868612,1.68,1.48,1.90,*
299,Norway,4,80+,229000,1488,89000,717,88283,140000,771,139229,1.46,1.32,1.62,*
300,Oman,1,0-19,1364000,23,684000,13,683987,680000,10,679990,1.29,0.57,2.95,ns
301,Oman,2,20-49,3209000,715,2350000,553,2349447,859000,162,858838,1.25,1.05,1.49,*
302,Oman,3,50-79,514000,1712,327000,1156,325844,187000,556,186444,1.19,1.07,1.32,*
303,Oman,4,80+,22000,422,11000,281,10719,11000,141,10859,1.99,1.63,2.44,*
304,Pakistan,1,0-19,45428000,39,23598000,24,23597976,21830000,15,21829985,1.48,0.78,2.82,ns
305,Pakistan,2,20-49,91995000,948,47132000,663,47131337,44863000,285,44862715,2.21,1.93,2.54,*
306,Pakistan,3,50-79,28584000,3510,14462000,2638,14459362,14122000,872,14121128,2.95,2.74,3.19,*
307,Pakistan,4,80+,1423000,306,744000,238,743762,679000,68,678932,3.19,2.44,4.18,*
308,Palestine,1,0-19,2474000,17,1263000,11,1262989,1211000,6,1210994,1.76,0.65,4.75,ns
309,Palestine,2,20-49,2078000,223,1056000,107,1055893,1022000,116,1021884,0.89,0.69,1.16,ns
310,Palestine,3,50-79,527000,1925,259000,1155,257845,268000,770,267230,1.55,1.42,1.70,*
311,Palestine,4,80+,22000,643,9000,347,8653,13000,296,12704,1.69,1.45,1.97,*
312,Panama,1,0-19,1500000,15,766000,9,765991,734000,6,733994,1.44,0.51,4.04,ns
313,Panama,2,20-49,1853000,184,932000,118,931882,921000,66,920934,1.77,1.31,2.39,*
314,Panama,3,50-79,875000,886,426000,595,425405,449000,291,448709,2.16,1.87,2.48,*
315,Panama,4,80+,87000,347,38000,206,37794,49000,141,48859,1.88,1.52,2.33,*
316,Peru,1,0-19,10579000,1602,5266000,851,5265149,5313000,751,5312249,1.14,1.04,1.26,*
317,Peru,2,20-49,14952000,27540,7480000,18587,7461413,7472000,8953,7463047,2.07,2.02,2.13,*
318,Peru,3,50-79,6847000,139422,3374000,89393,3284607,3473000,50029,3422971,1.84,1.82,1.86,*
319,Peru,4,80+,592000,44760,258000,26379,231621,334000,18381,315619,1.86,1.82,1.89,*
320,Philippines,1,0-19,43385000,1752,22283000,983,22282017,21102000,769,21101231,1.21,1.10,1.33,*
321,Philippines,2,20-49,47399000,10192,23993000,5948,23987052,23406000,4244,23401756,1.37,1.31,1.42,*
322,Philippines,3,50-79,17886000,39846,8458000,22599,8435401,9428000,17247,9410753,1.46,1.43,1.49,*
323,Philippines,4,80+,914000,8646,297000,3841,293159,617000,4805,612195,1.66,1.59,1.73,*
324,Poland,1,0-19,7494000,21,3834000,13,3833987,3660000,8,3659992,1.55,0.64,3.74,ns
325,Poland,2,20-49,15972000,734,8170000,475,8169525,7802000,259,7801741,1.75,1.51,2.04,*
326,Poland,3,50-79,12638000,12241,5794000,7609,5786391,6844000,4632,6839368,1.94,1.87,2.01,*
327,Poland,4,80+,1743000,8970,541000,4129,536871,1202000,4841,1197159,1.90,1.82,1.98,*
328,Portugal,1,0-19,1856000,8,951000,3,950997,905000,5,904995,0.57,0.14,2.39,ns
329,Portugal,2,20-49,3865000,293,1884000,176,1883824,1981000,117,1980883,1.58,1.25,2.00,*
330,Portugal,3,50-79,3793000,7364,1742000,4762,1737238,2051000,2602,2048398,2.15,2.05,2.26,*
331,Portugal,4,80+,683000,14249,247000,6560,240440,436000,7689,428311,1.51,1.46,1.56,*
332,Qatar,1,0-19,499000,1,260000,0,260000,239000,1,238999,0.00,N/A,N/A,*
333,Qatar,2,20-49,2025000,68,1623000,60,1622940,402000,8,401992,1.86,0.89,3.88,ns
334,Qatar,3,50-79,353000,207,280000,160,279840,73000,47,72953,0.89,0.64,1.23,ns
335,Qatar,4,80+,4000,57,2000,38,1962,2000,19,1981,2.00,1.16,3.46,*
336,Republic of Ireland,1,0-19,1341000,8,687000,3,686997,654000,5,653995,0.57,0.14,2.39,ns
337,Republic of Ireland,2,20-49,2027000,117,1005000,67,1004933,1022000,50,1021950,1.36,0.94,1.97,ns
338,Republic of Ireland,3,50-79,1413000,2272,695000,1410,693590,718000,862,717138,1.69,1.55,1.84,*
339,Republic of Ireland,4,80+,158000,3423,66000,1634,64366,92000,1789,90211,1.27,1.19,1.36,*
340,Romania,1,0-19,3979000,30,2045000,14,2044986,1934000,16,1933984,0.83,0.40,1.70,ns
341,Romania,2,20-49,7698000,2511,3964000,1597,3962403,3734000,914,3733086,1.65,1.52,1.79,*
342,Romania,3,50-79,6636000,32154,3029000,17703,3011297,3607000,14451,3592549,1.46,1.43,1.49,*
343,Romania,4,80+,923000,13383,315000,6439,308561,608000,6944,601056,1.79,1.73,1.85,*
344,Saint Kitts and Nevis,1,0-19,0,0,0,0,0,0,0,0,,,,ns
345,Saint Kitts and Nevis,2,20-49,0,5,0,3,-3,0,2,-2,,N/A,N/A,*
346,Saint Kitts and Nevis,3,50-79,0,24,0,15,-15,0,9,-9,,N/A,N/A,*
347,Saint Kitts and Nevis,4,80+,0,13,0,6,-6,0,7,-7,,N/A,N/A,*
348,Scotland,1,0-19,2965000,190,1493000,106,1492894,1472000,84,1471916,1.24,0.93,1.66,ns
349,Scotland,2,20-49,0,0,0,0,0,0,0,0,,,,ns
350,Scotland,3,50-79,451000,2560,145000,1530,143470,306000,1030,304970,3.13,2.90,3.39,*
351,Scotland,4,80+,128000,5747,46000,2435,43565,82000,3312,78688,1.31,1.25,1.38,*
352,Singapore,1,0-19,985000,0,508000,0,508000,477000,0,477000,,,,ns
353,Singapore,2,20-49,2694000,3,1431000,3,1430997,1263000,0,1263000,inf,,inf,ns
354,Singapore,3,50-79,2035000,37,1071000,28,1070972,964000,9,963991,2.80,1.32,5.93,*
355,Singapore,4,80+,135000,42,52000,22,51978,83000,20,82980,1.76,0.96,3.22,ns
356,Sint Maarten,1,0-19,0,0,0,0,0,0,0,0,,,,ns
357,Sint Maarten,2,20-49,0,3,0,3,-3,0,0,0,,,,ns
358,Sint Maarten,3,50-79,0,54,0,33,-33,0,21,-21,,N/A,N/A,*
359,Sint Maarten,4,80+,0,11,0,3,-3,0,8,-8,,N/A,N/A,*
360,Slovakia,1,0-19,1113000,23,570000,17,569983,543000,6,542994,2.70,1.06,6.85,*
361,Slovakia,2,20-49,2365000,629,1210000,401,1209599,1155000,228,1154772,1.68,1.43,1.98,*
362,Slovakia,3,50-79,1804000,11687,826000,6788,819212,978000,4899,973101,1.64,1.58,1.70,*
363,Slovakia,4,80+,180000,6294,55000,2435,52565,125000,3859,121141,1.43,1.36,1.51,*
364,Slovenia,1,0-19,407000,0,209000,0,209000,198000,0,198000,,,,ns
365,Slovenia,2,20-49,795000,95,415000,58,414942,380000,37,379963,1.44,0.95,2.17,ns
366,Slovenia,3,50-79,764000,2683,373000,1747,371253,391000,936,390064,1.96,1.81,2.12,*
367,Slovenia,4,80+,114000,4823,38000,2003,35997,76000,2820,73180,1.42,1.34,1.50,*
368,South Africa,1,0-19,21994000,877,11109000,444,11108556,10885000,433,10884567,1.00,0.88,1.15,ns
369,South Africa,2,20-49,27341000,19172,13691000,9430,13681570,13650000,9742,13640258,0.97,0.94,0.99,ns
370,South Africa,3,50-79,9552000,69966,4288000,34738,4253262,5264000,35228,5228772,1.21,1.19,1.23,*
371,South Africa,4,80+,421000,13405,128000,5631,122369,293000,7774,285226,1.66,1.60,1.71,*
372,Spain,1,0-19,8971000,57,4624000,34,4623966,4347000,23,4346977,1.39,0.82,2.36,ns
373,Spain,2,20-49,18457000,1737,9350000,1082,9348918,9107000,655,9106345,1.61,1.46,1.77,*
374,Spain,3,50-79,16402000,37817,7916000,25651,7890349,8486000,12166,8473834,2.26,2.21,2.31,*
375,Spain,4,80+,2924000,67385,1088000,32380,1055620,1836000,35005,1800995,1.56,1.54,1.58,*
376,Sudan,1,0-19,22251000,11,11275000,6,11274994,10976000,5,10975995,1.17,0.36,3.83,ns
377,Sudan,2,20-49,16558000,119,8221000,76,8220924,8337000,43,8336957,1.79,1.23,2.61,*
378,Sudan,3,50-79,4822000,733,2316000,502,2315498,2506000,231,2505769,2.35,2.01,2.75,*
379,Sudan,4,80+,217000,176,95000,126,94874,122000,50,121950,3.24,2.33,4.49,*
380,Sweden,1,0-19,2320000,21,1191000,11,1190989,1129000,10,1128990,1.04,0.44,2.46,ns
381,Sweden,2,20-49,3861000,237,1970000,141,1969859,1891000,96,1890904,1.41,1.09,1.83,*
382,Sweden,3,50-79,3383000,5818,1682000,3815,1678185,1701000,2003,1698997,1.93,1.82,2.03,*
383,Sweden,4,80+,532000,12078,214000,5951,208049,318000,6127,311873,1.44,1.39,1.50,*
384,Switzerland,1,0-19,1720000,7,880000,4,879996,840000,3,839997,1.27,0.28,5.69,ns
385,Switzerland,2,20-49,3426000,102,1728000,61,1727939,1698000,41,1697959,1.46,0.98,2.17,ns
386,Switzerland,3,50-79,3050000,4028,1506000,2728,1503272,1544000,1300,1542700,2.15,2.01,2.30,*
387,Switzerland,4,80+,459000,9416,179000,4504,174496,280000,4912,275088,1.43,1.38,1.49,*
388,Trinidad and Tobago,1,0-19,369000,13,188000,5,187995,181000,8,180992,0.60,0.20,1.84,ns
389,Trinidad and Tobago,2,20-49,617000,406,309000,239,308761,308000,167,307833,1.43,1.17,1.74,*
390,Trinidad and Tobago,3,50-79,386000,1587,184000,941,183059,202000,646,201354,1.60,1.45,1.77,*
391,Trinidad and Tobago,4,80+,28000,421,11000,213,10787,17000,208,16792,1.58,1.31,1.91,*
392,Tunisia,1,0-19,3658000,68,1888000,48,1887952,1770000,20,1769980,2.25,1.34,3.79,*
393,Tunisia,2,20-49,5211000,435,2577000,290,2576710,2634000,145,2633855,2.04,1.67,2.50,*
394,Tunisia,3,50-79,2749000,557,1316000,384,1315616,1433000,173,1432827,2.42,2.02,2.89,*
395,Tunisia,4,80+,200000,154,80000,92,79908,120000,62,119938,2.23,1.61,3.07,*
396,Turkey,1,0-19,27014000,96,13811000,56,13810944,13203000,40,13202960,1.34,0.89,2.01,ns
397,Turkey,2,20-49,37396000,5030,18740000,2759,18737241,18656000,2271,18653729,1.21,1.14,1.28,*
398,Turkey,3,50-79,18455000,54266,8545000,32136,8512864,9910000,22130,9887870,1.68,1.66,1.71,*
399,Turkey,4,80+,1475000,29125,541000,14933,526067,934000,14192,919808,1.82,1.78,1.86,*
400,Turks and Caicos,1,0-19,0,4,0,3,-3,0,1,-1,,N/A,N/A,*
401,Turks and Caicos,2,20-49,0,6,0,4,-4,0,2,-2,,N/A,N/A,*
402,Turks and Caicos,3,50-79,0,19,0,9,-9,0,10,-10,,N/A,N/A,*
403,Turks and Caicos,4,80+,0,5,0,1,-1,0,4,-4,,N/A,N/A,*
404,USA,1,0-19,82054000,1947,41913000,1060,41911940,40141000,887,40140113,1.14,1.05,1.25,*
405,USA,2,20-49,131111000,55258,66116000,34209,66081791,64995000,21049,64973951,1.60,1.57,1.63,*
406,USA,3,50-79,104691000,453962,50510000,271826,50238174,54181000,182136,53998864,1.60,1.59,1.61,*
407,USA,4,80+,13147000,333452,5247000,157898,5089102,7900000,175554,7724446,1.35,1.35,1.36,*
408,Uganda,1,0-19,11449000,3,5756000,2,5755998,5693000,1,5692999,1.98,0.18,21.82,ns
409,Uganda,2,20-49,16107000,108,7788000,75,7787925,8319000,33,8318967,2.43,1.61,3.66,*
410,Uganda,3,50-79,3238000,215,1473000,155,1472845,1765000,60,1764940,3.10,2.30,4.17,*
411,Uganda,4,80+,90000,38,29000,20,28980,61000,18,60982,2.34,1.24,4.42,*
412,Ukraine,1,0-19,8973000,96,4621000,48,4620952,4352000,48,4351952,0.94,0.63,1.41,ns
413,Ukraine,2,20-49,18515000,5975,9265000,3306,9261694,9250000,2669,9247331,1.24,1.18,1.30,*
414,Ukraine,3,50-79,14431000,74843,5914000,34761,5879239,8517000,40082,8476918,1.25,1.23,1.27,*
415,Ukraine,4,80+,1817000,25544,464000,10665,453335,1353000,14879,1338121,2.09,2.04,2.14,*
416,Venezuela,1,0-19,10254000,6,5233000,4,5232996,5021000,2,5020998,1.92,0.35,10.48,ns
417,Venezuela,2,20-49,11723000,86,5745000,56,5744944,5978000,30,5977970,1.94,1.25,3.03,*
418,Venezuela,3,50-79,6048000,410,2853000,256,2852744,3195000,154,3194846,1.86,1.52,2.27,*
419,Venezuela,4,80+,413000,99,155000,49,154951,258000,50,257950,1.63,1.10,2.42,*
420,Vietnam,1,0-19,28953000,0,15144000,0,15144000,13809000,0,13809000,,,,ns
421,Vietnam,2,20-49,45203000,12,22890000,3,22889997,22313000,9,22312991,0.32,0.09,1.20,ns
422,Vietnam,3,50-79,20864000,53,9510000,26,9509974,11354000,27,11353973,1.15,0.67,1.97,ns
423,Vietnam,4,80+,1874000,21,609000,8,608992,1265000,13,1264987,1.28,0.53,3.08,ns
424,Wales,1,0-19,1144000,57,581000,57,580943,563000,0,563000,inf,,inf,ns
425,Wales,2,20-49,0,0,0,0,0,0,0,0,,,,ns
426,Wales,3,50-79,362000,1714,175000,1064,173936,187000,650,186350,1.75,1.59,1.93,*
427,Wales,4,80+,85000,4067,32000,1823,30177,53000,2244,50756,1.35,1.27,1.43,*
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
